date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:49	14066/14066	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202022%2013:59:49%20GMT	https://chipbot.gg/home	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/home.html	(from )
19:29:49	199/199	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:50%20GMT	https://chipbot.gg/robots.txt		(from )
19:29:50	226284/226284	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jan%202022%2013:48:06%20GMT	https://chipbot.gg/static/images/chip_logo.png	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/chip_logo.png	(from https://chipbot.gg/home)
19:29:50	710997/710997	---MCZ	200	added ('OK')	text/css	etag:%22ad955-pMim/mNrbVKFBcMMtoUmoCT0Rqc%22	https://unpkg.com/tailwindcss@1.2.0/dist/tailwind.min.css	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/unpkg.com/tailwindcss@1.2.0/dist/tailwind.min.css	(from https://chipbot.gg/home)
19:29:50	26985/26985	---M-Z	200	added ('OK')	application/javascript	etag:W/%226969-PYk6WU7wXAXPX7qrRZSTVytMicQ%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	(from https://chipbot.gg/home)
19:29:51	71752/71752	---M-Z	200	added ('OK')	text/css	etag:%225eb436a8-11848%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.0.0/animate.min.css	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/cdnjs.cloudflare.com/ajax/libs/animate.css/4.0.0/animate.min.css	(from https://chipbot.gg/home)
19:29:51	158897/158897	---MC-	200	added ('OK')	text/javascript	date:Sun,%2013%20Mar%202022%2013:59:52%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://chipbot.gg/home)
19:29:51	54611/54611	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2013%20Mar%202022%2013:59:52%20GMT	https://chipbot.gg/cdn-cgi/challenge-platform/h/g/scripts/invisible.js?ts=1647176400	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/cdn-cgi/challenge-platform/h/g/scripts/invisible89bd.js	(from https://chipbot.gg/home)
19:29:51	268/268	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:52%20GMT	https://chipbot.gg/premium	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/premium	(from https://chipbot.gg/home)
19:29:52	80837/80837	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202022%2013:59:53%20GMT	https://chipbot.gg/commands	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/commands.html	(from https://chipbot.gg/home)
19:29:52	258/258	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:53%20GMT	https://chipbot.gg/discord	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/discord	(from https://chipbot.gg/home)
19:29:52	670/670	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:53%20GMT	https://chipbot.gg/invite/chip	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chip	(from https://chipbot.gg/home)
19:29:52	670/670	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:53%20GMT	https://chipbot.gg/invite/chip2	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chip2	(from https://chipbot.gg/home)
19:29:53	670/670	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:54%20GMT	https://chipbot.gg/invite/chip3	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chip3	(from https://chipbot.gg/home)
19:29:53	232670/232670	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jan%202022%2013:48:06%20GMT	https://chipbot.gg/static/images/chip_logo_red.png	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/chip_logo_red.png	(from https://chipbot.gg/home)
19:29:53	224291/224291	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/chip_logo_yellow.png	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/chip_logo_yellow.png	(from https://chipbot.gg/home)
19:29:53	662/662	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:54%20GMT	https://chipbot.gg/invite/chipbeta	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chipbeta	(from https://chipbot.gg/home)
19:29:54	670/670	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:54%20GMT	https://chipbot.gg/invite/chip	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chip	(from https://chipbot.gg/home)
19:29:54	295824/295824	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jan%202022%2013:48:06%20GMT	https://chipbot.gg/static/images/chipbeta.png	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/chipbeta.png	(from https://chipbot.gg/home)
19:29:54	670/670	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:55%20GMT	https://chipbot.gg/invite/chip	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/invite/chip	(from https://chipbot.gg/home)
19:29:54	215/215	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/time.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/time.svg	(from https://chipbot.gg/home)
19:29:54	236/236	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/headphones.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/headphones.svg	(from https://chipbot.gg/home)
19:29:55	218/218	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/tuning.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/tuning.svg	(from https://chipbot.gg/home)
19:29:55	220/220	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/block.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/block.svg	(from https://chipbot.gg/home)
19:29:55	149/149	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/view-list.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/view-list.svg	(from https://chipbot.gg/home)
19:29:55	268/268	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:56%20GMT	https://chipbot.gg/premium	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/premium	(from https://chipbot.gg/home)
19:29:56	182/182	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Jan%202022%2013:48:05%20GMT	https://chipbot.gg/static/images/heart.svg	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/static/images/heart.svg	(from https://chipbot.gg/home)
19:29:56	258/258	---MC-	302	error ('Found')	text/html	date:Sun,%2013%20Mar%202022%2013:59:57%20GMT	https://chipbot.gg/discord	C:/Users/vishe/Desktop/DISCORD%20TOOL/VIOLENT%20GRAPHICAL%20WEBSITE/violent%20lol/chipbot.gg/discord	(from https://chipbot.gg/home)
